Team,Player
Tottenham Hotspur,H. Kane
Tottenham Hotspur,B. Davies
Manchester United,A. Sanchez
Manchester United,P. Pogba
Chelsea,Willian
Tottenham Hotspur,C. Eriksen
Tottenham Hotspur,S. Aurier
Crystal Palace,A. Townsend
Crystal Palace,P. van Aanholt
Tottenham Hotspur,D. Alli
Crystal Palace,A. Sorloth
Crystal Palace,J. McArthur
Crystal Palace,J. Tomkins
Chelsea,D. Drinkwater
Manchester United,A. Martial
Chelsea,Alvaro Morata
Manchester United,R. Lukaku
Manchester United,J. Lingard
Chelsea,V. Moses
Chelsea,Marcos Alonso
Stoke City,X. Shaqiri
Liverpool,S. Mane
West Ham United,M. Antonio
Liverpool,E. Can
Liverpool,Mohamed Salah
Liverpool,Roberto Firmino
AFC Bournemouth,A. Smith
Newcastle United,D. Gayle
AFC Bournemouth,D. Gosling
Brighton & Hove Albion,G. Murray
Brighton & Hove Albion,A. Knockaert
Huddersfield Town,S. Mounie
Brighton & Hove Albion,J. Locadia
Huddersfield Town,R. van La Parra
West Bromwich Albion,C. Dawson
Burnley,A. Barnes
Southampton,M. Gabbiadini
Watford,T. Deeney
Swansea City,M. van der Hoorn
Swansea City,Martin Olsson
Brighton & Hove Albion,S. Duffy
Swansea City,N. Dyer
Brighton & Hove Albion,P. Gross
Brighton & Hove Albion,J. Izquierdo
Swansea City,F. Fernandez
Brighton & Hove Albion,E. Schelotto
Swansea City,S. Clucas
Swansea City,Sung-Yeung Ki
Brighton & Hove Albion,D. Propper
AFC Bournemouth,S. Cook
West Bromwich Albion,S. Rondon
Huddersfield Town,F. Hadergjonaj
Huddersfield Town,D. Williams
Huddersfield Town,T. Kongolo
Huddersfield Town,A. Pritchard
West Bromwich Albion,J. McClean
West Bromwich Albion,G. Krychowiak
West Bromwich Albion,G. Barry
West Bromwich Albion,C. Brunt
West Bromwich Albion,O. Burke
AFC Bournemouth,J. Stanislas
AFC Bournemouth,J. Defoe
AFC Bournemouth,C. Daniels
Liverpool,A. Oxlade-Chamberlain
Liverpool,A. Lallana
Newcastle United,M. Ritchie
Newcastle United,Kenedy
AFC Bournemouth,C. Wilson
AFC Bournemouth,R. Fraser
AFC Bournemouth,N. Ake
Newcastle United,C. Atsu
Newcastle United,Ayoze Perez
Newcastle United,J. Shelvey
Southampton,J. Sims
Swansea City,L. Dunk
Leicester City,J. Butland
Southampton,J. Stephens
Southampton,G. Carrillo
Watford,E. Capoue
Everton,A. Williams
Everton,G. Sigurdsson
Watford,A. Doucoure
Southampton,M. Lemina
Burnley,J. Gudmundsson
Burnley,A. Lennon
Southampton,D. Tadic
Southampton,N. Redmond
Burnley,A. Westwood
Watford,Deulofeu
Watford,S. Prodl
Everton,M. Keane
Everton,C. Tosun
Watford,J. Holebas
Everton,W. Rooney
Watford,Kiko Femenia
West Ham United,J. Collins
Leicester City,W. Ndidi
Leicester City,R. Mahrez
Leicester City,M. James
Stoke City,C. Adam
Leicester City,K. Iheanacho
Leicester City,M. Albrighton
Stoke City,M. Diouf
Leicester City,B. Chilwell
Stoke City,Badou N'Diaye
Leicester City,H. Maguire
West Ham United,M. Arnautovic
